No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
1	Preliminaries	Temporary Works	Temporary Hoarding Material Allowance (Market Reference Per m)	1	M	65.00	65.00	2026-07-09	MARKET REFERENCE / CURRENT WEB SEARCH CHECK	UNMARKED COST RATE - no markup included. For S01 final internal cost where root 1.2 Materials.txt has no exact hoarding item. Includes temporary panel/material allowance only; installation labour separate. If later drawing/SXX shows exact hoarding system differs, create correction immediately to avoid undercost/overprice/double count.
2	Preliminaries	Signboard	Project Signboard 4ft x 8ft (Market Reference)	1	PCS	280.00	280.00	2026-07-09	MARKET REFERENCE / CURRENT WEB SEARCH CHECK	UNMARKED COST RATE - no markup included. For S01 final internal cost where root 1.2 Materials.txt has no exact signboard item. Construction/project signboard requirement must follow drawing/client/authority where applicable. Installation labour separate. If later source gives supplier quote, replace by correction file.
3	Preliminaries	Safety & Protection	Site Safety and Protection Consumable Allowance (Internal Cost Reference)	1	LOT	500.00	500.00	2026-07-09	INTERNAL COST REFERENCE	UNMARKED COST RATE - no markup included. Allowance for basic caution tape, minor temporary protection, small consumables and site setup sundries. If later SXX contains same safety item, do not double count; adjust S01 or later SXX immediately.
4	Preliminaries	Temporary Utilities	Temporary Site Utilities Consumable Allowance (Internal Cost Reference)	1	LOT	750.00	750.00	2026-07-09	INTERNAL COST REFERENCE	UNMARKED COST RATE - no markup included. Allowance for temporary water/electricity setup consumables only when project includes construction temporary utilities. Final TNB/water authority fees are excluded unless owner confirms inclusion. If later SXX includes same temporary utility item, correct immediately.
5	ESCP	Sediment Control	ESCP Silt Fence Geotextile and Timber Stake Material (Current Working Cost Per m)	1	M	12.00	12.00	2026-07-10	MARKET CHECKED / INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S02 temporary erosion and sediment control perimeter/filter fence. Includes geotextile/fabric/stakes/basic fixings material allowance only; installation labour separate. Current web search confirms silt fence is a temporary sediment control using synthetic filter fabric/geotextile and stakes, but exact Malaysia public unit-rate source was not reliable. If supplier quote/drawing differs, correct S02 immediately.
6	ESCP	Sediment Control	ESCP Sandbag Sediment Control Filled Unit (Current Working Cost)	1	PCS	6.50	6.50	2026-07-10	MARKET CHECKED / INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For temporary check dam/inlet protection/sediment diversion points under S02. Includes bag and fill material working allowance. Installation labour separate. Do not double count with permanent drainage scopes.
7	ESCP	Temporary Drainage	ESCP Temporary Drain and Check Dam Consumable Allowance (Current Working Cost)	1	LOT	350.00	350.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For small temporary diversion drain/check dam consumables, pegs, string, minor geotextile offcut and maintenance sundries under S02. If later drawing specifies exact permanent drains, keep them out of S02 and price under permanent drainage SXX.
8	RC Works	Reinforcement	Reinforcement Steel Bar Supply Allowance (Current Working Cost Per kg)	1	KG	3.80	3.80	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For RC works such as S04 crossing bridge/permanent entrance, S05 footing/stump/ground beam and later RC structural scopes where root Materials has no exact rebar item. Cutting/bending/fixing labour is separate under labour rows. If supplier quote or bar schedule differs, correct affected SXX immediately.
9	RC Works	Formwork	Formwork Plywood Timber and Release Oil Material Allowance (Current Working Cost Per m2)	1	M2	35.00	35.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For RC formwork material allowance such as S04 crossing bridge/permanent entrance, S05 footing/stump/ground beam and later RC structural scopes where root Materials has no exact formwork material item. Labour separate. If later structural source gives exact formwork system, correct affected SXX immediately.
10	RC Works	Concrete	Ready Mix Concrete G15 Lean Concrete (Current Working Cost Per m3)	1	M3	340.00	340.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For lean concrete blinding where structural notes specify G15 but root Materials list has no exact G15 line. Rate is below root G20 RM355/m3 and should be replaced if supplier quote is obtained. If exact supplier can only supply G20, use G20 as safer substitution and record the change.
11	Plumbing	Sewerage Pipe	UPVC Sewer Pipe 100mm Rough-In Allowance (Current Working Cost Per m)	1	M	25.00	25.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S06 under-slab/internal sanitary rough-in from WC/soil points to first external connection/manhole interface. Excludes external sewer main/manholes under S21. Supplier quote can replace later.
12	Plumbing	Waste Pipe	UPVC Waste Pipe 50mm Rough-In Allowance (Current Working Cost Per m)	1	M	12.00	12.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S06 under-slab waste branches from floor traps, gully traps, basins/ablution drains to sanitary rough-in. Excludes final sanitary ware and fittings under S12.
13	Plumbing	Water Supply Pipe	ABS Class 12 Water Supply Main Pipe 19mm-25mm Rough-In Allowance (Current Working Cost Per m)	1	M	9.00	9.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S06 concealed/under-slab water supply main rough-in only. Excludes final meter, pump, tank, taps and sanitary fixtures unless later owner includes them in S06.
14	Plumbing	Water Supply Pipe	ABS Class 12 Water Supply Branch Pipe 12mm Rough-In Allowance (Current Working Cost Per m)	1	M	4.50	4.50	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S06 rough-in branches to WC, basin, tap/ablution/feet-wash supply points. Excludes final tap/flexible hose/fixture under S12.
15	Plumbing	Floor Drainage	Floor Trap Rough-In Set Allowance (Current Working Cost Per pcs)	1	PCS	35.00	35.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S06 floor trap rough-in body/sleeve/connector where sewerage schematic shows `ft`. Final floor grating/finish adjustment can be under S12/S16 if selected later.
16	Plumbing	Gully Trap	Gully Trap Rough-In Set Allowance (Current Working Cost Per pcs)	1	PCS	85.00	85.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S06 gully trap rough-in where sewerage schematic shows `gt`. External manholes/sewer lines are under S21.
17	Plumbing	WC Rough-In	WC Soil Connector and Sleeve Rough-In Allowance (Current Working Cost Per pcs)	1	PCS	28.00	28.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For WC soil point rough-in only. WC pan/cistern/seat/final installation excluded to S12.
18	Plumbing	Water Supply Rough-In	Water Supply Outlet Stub-Up/Sleeve/Elbow Allowance (Current Working Cost Per point)	1	POINT	18.00	18.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For rough-in water outlets to WC, basin, ablution, wuduk and feet-wash points. Taps/fixtures excluded to S12.
19	Plumbing	Fittings and Consumables	Plumbing Rough-In Fittings Solvent Sleeves Hangers Consumable Allowance (Current Working Cost Per lot)	1	LOT	900.00	900.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S06 elbows, tees, reducers, sockets, solvent cement, sleeves, clamps and temporary protection across plumbing/sewer rough-in. Prevents undercost from counting pipe lengths only.
20	Plumbing	Testing and Protection	Temporary Caps Test Plugs and Protection Allowance (Current Working Cost Per lot)	1	LOT	300.00	300.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For temporary capping/protection of S06 rough-in points before slab/finishes. Final pressure/leak test service labour separate.
21	RC Works	Slab Reinforcement	BRC A8 Wire Mesh Supply Allowance (Current Working Cost Per m2)	1	M2	12.00	12.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S07 non-suspended slab bottom mesh where slab sections specify BRC A8 (B). Use drawing area plus lapping/wastage. Supplier quote can replace later.
22	RC Works	Slab Reinforcement	BRC B5 Wire Mesh Top Strip Supply Allowance (Current Working Cost Per m2)	1	M2	8.00	8.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S07 top strip mesh over/near ground beam positions where slab cut sections specify BRC B5 (T). Use strip area basis with lapping/wastage.
23	RC Works	Apron Reinforcement	BRC A6 Wire Mesh Apron Supply Allowance (Current Working Cost Per m2)	1	M2	9.00	9.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S07 apron/steps/ramp mesh where typical apron detail specifies wire mesh A6. Supplier quote can replace later.
24	RC Works	DPM	Polythene Sheet Damp Proof Membrane Allowance (Current Working Cost Per m2)	1	M2	2.50	2.50	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S07 non-suspended slab where detail specifies 1 layer polythene sheet/DPM below slab. Lapping and wastage to be included in quantity.
25	RC Works	Slab Sundries	Ground Slab Pour Screed Joint and Curing Consumable Allowance (Current Working Cost Per lot)	1	LOT	650.00	650.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S07 curing compound/water, screed guides, saw-cut/control joint consumables, spacers/chairs and small slab pour sundries. Prevents undercost from concrete and mesh only.
26	Roofing	Roof Covering	Insulated Metal Roofing POWIN or Equivalent Supply Allowance (Current Working Cost Per m2)	1	M2	95.00	95.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S09 roof covering where section/elevation states insulated metal roofing (POWIN or equivalent). Use full roof-surface allowance including slope, laps and cutting.
27	Roofing	Roof Framing	GI Rafters Purlins and Battens Supply Allowance (Current Working Cost Per m2 roof area)	1	M2	42.00	42.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S09 where roof framing note requires all GI rafters and associated roof supporting purlins to be plain GI and not coloured type.
28	Roofing	Flashing and Capping	Roof Ridge Hip Valley Flashing and Capping Allowance (Current Working Cost Per m)	1	M	28.00	28.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S09 hips/ridges/valleys/flashing/capping shown by multi-level hipped roof plans. Use full allowance length, not minimum.
29	Roofing	Fascia and Edge Trim	Roof Fascia Barge Eaves Edge Trim Allowance (Current Working Cost Per m)	1	M	25.00	25.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S09 roof edge trim, fascia/barge/eaves trim at roof perimeter and roof breaks.
30	Roofing	Rainwater Goods	Everplast Rainwater Gutter Allowance (Current Working Cost Per m)	1	M	22.00	22.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S09 roof rainwater goods where roof plan notes require all rainwater goods to be Everplast brand or architect approval. Ground drains excluded to drainage SXX.
31	Roofing	Rainwater Goods	RWDP Downpipe Set Allowance (Current Working Cost Per point)	1	POINT	180.00	180.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S09 rainwater downpipe points shown/labeled RWDP on roof/plan source. Ground connection/drainage excluded to drainage SXX.
32	Roofing	Fasteners and Sealant	Roofing Screws Clips Sealant Saddles and End Caps Allowance (Current Working Cost Per lot)	1	LOT	1800.00	1800.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S09 roof fastening, sealing and accessory sundries so roof is not costed as sheet-only.
33	Roofing	Protective Paint	Anti-Rust Primer and Micaceous Paint for Exposed Steel Allowance (Current Working Cost Per lot)	1	LOT	1800.00	1800.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S09 note requiring exposed mild steel beams/columns to be painted with anti-rust primer and three coats approved micaceous paint.
